Label,PublicationNumber
PB001304,EP4074172 A1
PB001305,FR3121576 A1
PB001306,WO22216107 A1
PB001307,WO22216101 A1
PB001308,EP4070702 A1
PB001309,US2022322882 AA
PB001310,EP4070701 A1
PB001311,US2022322883 AA
PB001312,WO22215845 A1
PB001313,US2022324730 AA
PB001314,WO22215911 A1
PB001315,EP4071462 A1
PB001316,US2022326132 AA
PB001317,WO22215925 A1
PB001318,FR3121579 A3
PB001319,EP3842517 A1
PB001320,FR3105258 A1
PB001321,FR3105258 B1
PB001322,EP3957306 A1
PB001323,FR3113458 A1
PB001324,FR3113458 B1
PB001325,US2022054387 AA
PB001326,FR3101786 A1
PB001327,FR3101786 B1
PB001328,FR3121578 A1
PB001329,CA3133430 AA
PB001330,EP3945863 A1
PB001331,FR3094181 A1
PB001332,FR3094181 B1
PB001333,WO20193668 A1
PB001334,FR3106212 A1
PB001335,FR3106212 B1
PB001336,WO21140303 A1
PB001337,FR3121742 A3
PB001338,WO22215441 A1
PB001339,EP4070667 A1
PB001340,WO22214321 A1
PB001341,WO22215647 A1
PB001342,WO22215949 A1
PB001343,WO22215742 A1
PB001344,WO22215825 A1
PB001345,DE102021108919 A1
PB001346,WO22215302 A1
PB001347,WO22215950 A1
PB001348,WO22215689 A1
PB001349,WO22213517 A1
PB001350,WO22213898 A1
PB001351,WO22215732 A1
PB001352,WO22214180 A1
PB001353,WO22213159 A1
PB001354,WO22215744 A1
PB001355,WO22215731 A1
PB001356,WO22215568 A1
PB001357,WO22215673 A1
PB001358,WO22213144 A1
PB001359,US2022313644 AA
PB001360,WO22215085 A1
PB001361,WO22215557 A1
PB001362,WO22215654 A1
PB001363,WO22215733 A1
PB001364,DE102021108776 A1
PB001365,WO22215981 A1
PB001366,WO22215688 A1
PB001367,DE102012201195 A1
PB001368,DE102012201195 B4
PB001369,EP4071242 A1
PB001370,WO22216801 A1
PB001371,WO22213592 A1
PB001372,DE102022107683 A1
PB001373,US2022325311 AA
PB001374,EP4070670 A1
PB001375,WO22214700 A1
PB001376,DE102021108667 A1
PB001377,WO22213508 A1
PB001378,CA3163651 AA
PB001379,CA3163662 AA
PB001380,CA3163663 AA
PB001381,CA3173727 AA
PB001382,EP4068987 A1
PB001383,EP4069821 A1
PB001384,EP4069824 A1
PB001385,EP4069861 A1
PB001386,US11306342 BB
PB001387,US2021246480 AA
PB001388,US2022025310 AA
PB001389,US2022162662 AA
PB001390,US2022298480 AA
PB001391,WO21111196 A1
PB001392,WO21111219 A1
PB001393,WO21111263 A1
PB001394,WO21111270 A1
PB001395,WO22215055 A1
PB001396,WO22214159 A1
PB001397,DE102021001794 A1
PB001398,WO22213149 A1
PB001399,WO22216146 A1
PB001400,WO22214861 A1
PB001401,WO22215738 A1
PB001402,DE102021001808 A1
PB001403,EP4070700 A1
PB001404,US2022325897 AA
PB001405,WO22213464 A1
PB001406,WO22215970 A1
PB001407,WO22215926 A1
PB001408,WO22215932 A1
PB001409,DE102022105905 B3
PB001410,WO22215753 A1
PB001411,WO22215734 A1
PB001412,WO22215619 A1
PB001413,EP4071763 A1
PB001414,WO22216809 A1
PB001415,DE102022203638 A1
PB001416,WO22214710 A2
PB001417,WO22216267 A1
PB001418,WO22213700 A1
PB001419,WO22213147 A1
PB001420,US2022325945 AA
PB001421,WO22215771 A1
PB001422,EP4070663 A1
PB001423,US2022322683 AA
PB001424,WO22213430 A1
PB001425,CA3162152 AA
PB001426,EP4069044 A1
PB001427,WO21110654 A1
PB001428,CA2945148 AA
PB001429,CA2989554 AA
PB001430,CA3128504 AA
PB001431,CA3160791 AA
PB001432,EP3225105 A1
PB001433,EP3311370 A1
PB001434,EP3920690 A1
PB001435,EP4070307 A1
PB001436,ES2854926 T3
PB001437,GB2545536 A1
PB001438,US10045512 BB
PB001439,US10231440 BB
PB001440,US10645908 BB
PB001441,US2016366853 AA
PB001442,US2016366854 AA
PB001443,US2016366858 AA
PB001444,US2019150404 AA
PB001445,US2019166802 AA
PB001446,US2020267941 AA
PB001447,WO16204799 A1
PB001448,WO20163362 A1
PB001449,WO21113517 A1
